round,loss
1,0.5194052049117976
2,0.5060077741970109
3,0.5021057990672236
4,0.500582371828318
5,0.49984547890580766
6,0.49940463603898083
7,0.4990859285339144
8,0.49882217447626465
9,0.498585818433428
10,0.4983650142794126
11,0.4981544461949457
12,0.4979516148228591
13,0.49775527306414763
14,0.4975647453725446
15,0.497379623063384
16,0.497199624505301
17,0.4970245296134745
18,0.49685414870027667
19,0.49668830759877014
20,0.49652684065285374
21,0.49636958756238525
22,0.4962163921200723
23,0.49606710185845926
24,0.4959215681089728
25,0.49577964621972154
26,0.4956411958054022
27,0.49550608096921195
28,0.49537417047177973
29,0.49524533784041136
30,0.49511946142109764
31,0.49499642437989694
32,0.4948761146617731
33,0.49475842491503214
34,0.4946432523888597
35,0.49453049881054034
36,0.4944200702479323
37,0.49431187696181994
38,0.4942058332518955
39,0.4941018572993728
40,0.4939998710085986
41,0.49389979984950033
42,0.49380157270227404
43,0.49370512170536357
44,0.493610382107501
45,0.49351729212435275
46,0.4934257928001354
47,0.49333582787442765
48,0.4932473436542944
49,0.4931602888917539
50,0.4930746146665574
51,0.49299027427419967
52,0.4929072231190453
53,0.4928254186124256
54,0.4927448200755508
55,0.4926653886470616
56,0.49258708719504196
57,0.4925098802333127
58,0.49243373384181927
59,0.49235861559093497
60,0.49228449446950057
61,0.4922113408164235
62,0.49213912625567163
63,0.49206782363449464
64,0.4919974069647172
65,0.4919278513669525
66,0.4918591330175908
67,0.49179122909842593
68,0.4917241177487848
69,0.49165777802003696
70,0.4915921898323627
71,0.49152733393366477
72,0.4914631918605164
73,0.4913997459010421
74,0.49133697905963214
75,0.4912748750234
76,0.49121341813029085
77,0.49115259333876105
78,0.49109238619894663
79,0.49103278282524615
80,0.4909737698702455
81,0.4909153344999186
82,0.490857464370038
83,0.49080014760373464
84,0.49074337277014857
85,0.49068712886411797
86,0.49063140528685023
87,0.49057619182752965
88,0.49052147864581314
89,0.49046725625516874
90,0.4904135155070168
91,0.4903602475756325
92,0.4903074439437716
93,0.4902550963889845
94,0.4902031969705837
95,0.49015173801723166
96,0.49010071211512085
97,0.49005011209671345
98,0.48999993103001516
99,0.4899501622083565
100,0.4899007991406567
