round,AUC
1,0.8487163434903047
2,0.8607237334801762
3,0.8679112334801762
4,0.8529026504693539
5,0.8714448788546256
6,0.872547621681416
7,0.8733379405286342
8,0.8504018221976808
9,0.8698039911308204
10,0.8569428021978023
11,0.85825
12,0.8598270509977828
13,0.8583014925373135
14,0.8643214207048459
15,0.87234997236042
16,0.872887210584344
17,0.8721001105583195
18,0.8757831497797357
19,0.8791009397457159
20,0.8757985627418462
21,0.8781018794914317
22,0.8708424158852731
23,0.8777455396475772
24,0.8613732113144759
25,0.8750023230088495
26,0.8754517146017698
27,0.8683395259095921
28,0.873908870523416
29,0.8753973568281939
30,0.8750617630853995
31,0.8728168502202643
32,0.8747434589800445
33,0.8737616868798236
34,0.857
35,0.873412348401323
36,0.8622216528925619
37,0.871
38,0.8560762063227954
39,0.870099557522124
40,0.8725470881863562
41,0.8713933518005541
42,0.8709092511013216
43,0.8672500276395798
44,0.8686593956043955
45,0.8522000000000001
46,0.8706452328159645
47,0.8696973392461198
48,0.8680617630853994
49,0.8660985627418464
50,0.8483440443213296
51,0.8485950138504155
52,0.8581765418502202
53,0.8538821093318607
54,0.8661112087912088
55,0.8531833241303147
56,0.8675407202216067
57,0.867350249031544
58,0.8637149253731344
59,0.8670595054945055
60,0.8582591184573002
61,0.8666003320420588
62,0.8682995565410201
63,0.8491439536167863
64,0.8637988944168049
65,0.8619
66,0.8661571349862259
67,0.8632986733001659
68,0.8455467849223948
69,0.8598999999999999
70,0.8644500830105147
71,0.8675594490358127
72,0.85265
73,0.8517054545454545
74,0.864699833610649
75,0.8646026997245179
76,0.8563795918367346
77,0.86520022172949
78,0.8565302813017099
79,0.8436
80,0.8504931129476584
81,0.8647493082457112
82,0.8591441924778761
83,0.8571935840707965
84,0.8493431091510474
85,0.8618916897506925
86,0.8548330391616106
87,0.8630461197339245
88,0.855055223880597
89,0.855912885462555
90,0.8394352745424293
91,0.8407341098169718
92,0.8487
93,0.8407359201773836
94,0.8391919667590026
95,0.8605499723298285
96,0.8484307564881282
97,0.8560491431730238
98,0.8598500830105147
99,0.8476558985667034
100,0.8309383084577114
