round,loss
1,0.5592309972158285
2,0.5558985989688857
3,0.5550879625209806
4,0.5549280921699256
5,0.5548335031857843
6,0.5546889318761578
7,0.5544870142864148
8,0.554241846270858
9,0.5539682481909274
10,0.5536776564526062
11,0.5533781110330872
12,0.5530750453051202
13,0.552772051741526
14,0.5524714645927148
15,0.5521747701730916
16,0.5518828871820621
17,0.5515963560159303
18,0.5513154661541126
19,0.5510403418451422
20,0.5507709997704718
21,0.5505073878458474
22,0.5502494112868136
23,0.5499969500482453
24,0.5497498704080296
25,0.5495080325716479
26,0.5492712955751711
27,0.5490395203595494
28,0.5488125716141218
29,0.5485903187992952
30,0.5483726366292947
31,0.5481594052069269
32,0.5479505099408831
33,0.5477458413336711
34,0.5475452946989527
35,0.547348769846892
36,0.5471561707622724
37,0.5469674052907203
38,0.5467823848420039
39,0.5466010241151401
40,0.546423240847272
41,0.5462489555865088
42,0.5460780914878474
43,0.5459105741306717
44,0.5457463313560188
45,0.5455852931216859
46,0.5454273913732741
47,0.5452725599293441
48,0.5451207343790019
49,0.5449718519903802
50,0.5448258516286367
51,0.5446826736822513
52,0.5445422599965442
53,0.544404553813473
54,0.5442694997168908
55,0.544137043582552
56,0.5440071325322515
57,0.5438797148915647
58,0.5437547401507317
59,0.5436321589282923
60,0.5435119229371328
61,0.5433939849526531
62,0.5432782987828064
63,0.5431648192397953
64,0.5430535021132415
65,0.5429443041446693
66,0.5428371830031685
67,0.5427320972621182
68,0.5426290063768711
69,0.5425278706633103
70,0.5424286512772062
71,0.5423313101943011
72,0.5422358101910754
73,0.5421421148261344
74,0.542050188422182
75,0.5419599960485375
76,0.5418715035041649
77,0.5417846773011853
78,0.5416994846488448
79,0.5416158934379166
80,0.541533872225516
81,0.5414533902203081
82,0.5413744172680961
83,0.5412969238377671
84,0.5412208810075908
85,0.5411462604518512
86,0.5410730344278029
87,0.5410011757629405
88,0.5409306578425715
89,0.5408614545976824
90,0.5407935404930901
91,0.5407268905158694
92,0.54066148016405
93,0.5405972854355746
94,0.5405342828175111
95,0.5404724492755123
96,0.5404117622435181
97,0.5403521996136905
98,0.540293739726579
99,0.5402363613615091
100,0.5401800437271888
