round,accuracy
1,0.7434065934065934
2,0.7407407407407407
3,0.7613009922822491
4,0.7739801543550165
5,0.7555309734513275
6,0.7607734806629834
7,0.7555066079295154
8,0.7721729490022173
9,0.7224986180210061
10,0.7697802197802198
11,0.790929203539823
12,0.7767364939360529
13,0.7519337016574585
14,0.7842920353982301
15,0.8037486218302095
16,0.7551133222775014
17,0.7744610281923715
18,0.7651598676957001
19,0.780852241283896
20,0.7590027700831025
21,0.7700386954118298
22,0.7782705099778271
23,0.8022038567493113
24,0.8019966722129783
25,0.7732815964523282
26,0.746268656716418
27,0.7473684210526316
28,0.6968026460859978
29,0.8047698280643372
30,0.7990060739922694
31,0.8042151968940654
32,0.8074156059767571
33,0.6130099228224918
34,0.7622724765581909
35,0.545704845814978
36,0.7581446714522363
37,0.7484831770546057
38,0.7482093663911846
39,0.7825124515771997
40,0.7753863134657837
41,0.7631433314886552
42,0.7658752070679182
43,0.7804743519029234
44,0.7279735682819384
45,0.7623268698060942
46,0.6883977900552486
47,0.6567164179104478
48,0.8015435501653804
49,0.7727777777777778
50,0.7907233572611817
51,0.7774725274725275
52,0.7853982300884956
53,0.677722498618021
54,0.7798672566371682
55,0.7650969529085873
56,0.7699556541019955
57,0.7907233572611817
58,0.7921286031042128
59,0.7563395810363837
60,0.7970049916805324
61,0.7627777777777778
62,0.7638580931263859
63,0.763114301490889
64,0.7549889135254989
65,0.7654185022026432
66,0.7860310421286031
67,0.7763736263736264
68,0.7737831858407079
69,0.7896189950303699
70,0.7455654101995566
71,0.7709373266777593
72,0.6307352128247651
73,0.7911845730027548
74,0.769273433166944
75,0.7954545454545454
76,0.7966942148760331
77,0.7779614325068871
78,0.7946873270614278
79,0.7494456762749445
80,0.7921286031042128
81,0.758869179600887
82,0.7819383259911894
83,0.6310249307479224
84,0.6640969162995595
85,0.5942509673852957
86,0.7738554881412024
87,0.7523545706371191
88,0.7560840707964602
89,0.7782656421514819
90,0.7603533959138598
91,0.7807840971838763
92,0.7643805309734514
93,0.7462603878116344
94,0.7650635710337202
95,0.7950413223140496
96,0.7563395810363837
97,0.7997787610619469
98,0.7823691460055097
99,0.7910694597574421
100,0.7738888888888888
