round,accuracy
1,0.7423822714681441
2,0.735
3,0.7565934065934066
4,0.780852241283896
5,0.7783305693753455
6,0.7851239669421488
7,0.8149171270718232
8,0.7971334068357222
9,0.7785123966942149
10,0.786504424778761
11,0.7879624516841524
12,0.7935022026431718
13,0.8114980652294085
14,0.7907488986784141
15,0.7782705099778271
16,0.7992235163616195
17,0.7790633608815427
18,0.7885146327995582
19,0.7835164835164835
20,0.801762114537445
21,0.8011080332409972
22,0.8008874098724348
23,0.7912755383765875
24,0.8029883785279469
25,0.8121546961325967
26,0.7876447876447876
27,0.7868131868131868
28,0.8009950248756219
29,0.8002213613724405
30,0.7917582417582417
31,0.7942636514065086
32,0.7910694597574421
33,0.7893569844789357
34,0.8011080332409972
35,0.7869757174392936
36,0.7947864669994453
37,0.7944598337950138
38,0.8109452736318408
39,0.8024349750968456
40,0.7845730027548209
41,0.792932081722805
42,0.7970049916805324
43,0.7916207276736494
44,0.7970049916805324
45,0.804432132963989
46,0.8076285240464345
47,0.7780231916068471
48,0.7840659340659341
49,0.8047566371681416
50,0.7804743519029234
51,0.7897066961815163
52,0.7779614325068871
53,0.78732782369146
54,0.7835450027609056
55,0.7888026607538803
56,0.8059701492537313
57,0.797566371681416
58,0.7794444444444445
59,0.7973568281938326
60,0.8113938053097345
61,0.7912995594713657
62,0.7810098792535675
63,0.7938257993384785
64,0.7811111111111111
65,0.7837837837837838
66,0.7938087341072416
67,0.7972299168975069
68,0.8075221238938053
69,0.7736057426836003
70,0.7882808181315644
71,0.7735537190082644
72,0.7777161862527716
73,0.7909542195256482
74,0.8022099447513812
75,0.7846153846153846
76,0.7822001105583195
77,0.7793633369923162
78,0.7872105843439912
79,0.7948008849557522
80,0.7865853658536586
81,0.7713498622589532
82,0.7807162534435261
83,0.7874930824571112
84,0.7845730027548209
85,0.7731277533039648
86,0.7790633608815427
87,0.7710643015521065
88,0.7850055126791621
89,0.7848451327433629
90,0.7694013303769401
91,0.7853982300884956
92,0.7888643880926131
93,0.7942477876106194
94,0.7777777777777778
95,0.7907488986784141
96,0.7797356828193832
97,0.7675317504141358
98,0.7911357340720222
99,0.7795013850415512
100,0.8002213613724405
