round,AUC
1,0.6398326901874312
2,0.7741469353948095
3,0.6761553964757709
4,0.781965875207068
5,0.7999730981256892
6,0.7517634859349145
7,0.7829531855955679
8,0.666
9,0.8046440931780366
10,0.8127000000000001
11,0.8146048252911814
12,0.62103605292172
13,0.6777648127753304
14,0.8133
15,0.8102842076200995
16,0.6664147026431718
17,0.67055
18,0.8225567387687188
19,0.7426337010479869
20,0.7552077472527473
21,0.7911905158069883
22,0.8170562672556599
23,0.81442782369146
24,0.7955324459234608
25,0.8179501936912009
26,0.7628954771097628
27,0.767807335907336
28,0.7428761772853186
29,0.8178880926130099
30,0.8167017117614578
31,0.8022
32,0.7915741150442478
33,0.7748480219780219
34,0.6527936263736265
35,0.8082439955727726
36,0.7915627483443708
37,0.7746592715231788
38,0.6951502197802198
39,0.8100266075388026
40,0.815856028761062
41,0.7848716417910447
42,0.8100101713653952
43,0.7493077562326871
44,0.6951944933920704
45,0.820759535655058
46,0.8151849223946784
47,0.677494367752623
48,0.7557522388059702
49,0.7963396790260099
50,0.7802000000000001
51,0.8019934698395131
52,0.775216344561016
53,0.7828158738938052
54,0.8327667590027701
55,0.8085926397343663
56,0.78725
57,0.8087022172949002
58,0.8068
59,0.79545
60,0.6686182417582418
61,0.8175188470066519
62,0.7921939192924268
63,0.8064705785123967
64,0.79425
65,0.8100928057553957
66,0.7406447876447878
67,0.731176311430149
68,0.7863437673130194
69,0.7496869349503859
70,0.7049342888643881
71,0.7696088691796008
72,0.7487339010989011
73,0.7430000000000001
74,0.807806578220011
75,0.6910828555678059
76,0.8242424225663717
77,0.8268242959690778
78,0.6916172356828193
79,0.7975567387687188
80,0.7182462513781698
81,0.7926179458862508
82,0.7154309431880861
83,0.7059019273127752
84,0.7930498614958449
85,0.8154151982378854
86,0.8248175854465271
87,0.7991537437603993
88,0.7220410921125207
89,0.7378010462555067
90,0.7208060606060606
91,0.7273282488986785
92,0.7856000000000001
93,0.7146246001103144
94,0.7311721393034826
95,0.8201946319867183
96,0.8211938018815717
97,0.7469676616915424
98,0.7799869541182974
99,0.6910197353914003
100,0.7326008791208791
