round,loss
1,0.5729497999946647
2,0.5590011815024281
3,0.5510614570557266
4,0.5450133856177624
5,0.5399811727204922
6,0.5356521925508757
7,0.5318720534923169
8,0.5285423418223882
9,0.5255908042485512
10,0.5229607941349661
11,0.5206064970946296
12,0.5184902207671341
13,0.5165806038950536
14,0.5148513291817881
15,0.5132801554903016
16,0.5118481706579971
17,0.5105392044636403
18,0.5093393614668743
19,0.5082366454618813
20,0.5072206550348815
21,0.5062823349750593
22,0.5054137719912497
23,0.5046080258648635
24,0.503858989147829
25,0.5031612700003076
26,0.5025100938942877
27,0.5019012207800448
28,0.5013308749890444
29,0.5007956856765923
30,0.5002926360251455
31,0.49981901976037174
32,0.4993724037961537
33,0.4989505960364063
34,0.4985516175320448
35,0.4981736783293347
36,0.4978151564578958
37,0.4974745795980268
38,0.49715060904187974
39,0.49684202562456964
40,0.49654771735210007
41,0.49626666849506795
42,0.49599794995208346
43,0.49574071071600956
44,0.49549417030053877
45,0.49525761200511176
46,0.4950303769134378
47,0.49481185853545306
48,0.49460149801489167
49,0.494398779835137
50,0.4942032279649464
51,0.4940144023932764
52,0.4938318960089612
53,0.4936553317866112
54,0.49348436024491316
55,0.493318657147685
56,0.4931579214216249
57,0.4930018732678173
58,0.4928502524467618
59,0.49270281671904065
60,0.4925593404258016
61,0.4924196131950123
62,0.4922834387610244
63,0.49215063388634955
64,0.49202102737576314
65,0.4918944591739162
66,0.4917707795385645
67,0.49164984828236197
68,0.49153153407688643
69,0.4914157138132217
70,0.49130227201399096
71,0.49119110029224505
72,0.4910820968530691
73,0.49097516603417063
74,0.49087021788207547
75,0.49076716776088164
76,0.4906659359908062
77,0.49056644751402445
78,0.4904686315855268
79,0.49037242148693166
80,0.490277754261377
81,0.49018457046778346
82,0.4900928139529347
83,0.49000243163995233
84,0.48991337333187757
85,0.4898255915291696
86,0.48973904126004547
87,0.4896536799226695
88,0.4895694671382844
89,0.4894863646144587
90,0.4894043360176836
91,0.4893233468546243
92,0.4892433643613794
93,0.4891643574001637
94,0.48908629636286444
95,0.48900915308097903
96,0.4889329007414661
97,0.48885751380809167
98,0.4887829679478752
99,0.4887092399622772
100,0.48863630772279304
