round,accuracy
1,0.7506909894969597
2,0.7311529933481153
3,0.7434065934065934
4,0.7366096079514081
5,0.737161789066814
6,0.7451630735212825
7,0.7551133222775014
8,0.7683863885839737
9,0.7570558937465413
10,0.7609539656128674
11,0.7577092511013216
12,0.762114537444934
13,0.7701657458563536
14,0.7439024390243902
15,0.7523493642896628
16,0.7684210526315789
17,0.7764250138350858
18,0.758869179600887
19,0.768595041322314
20,0.760989010989011
21,0.7455555555555555
22,0.7640573318632855
23,0.7433481152993349
24,0.7592490336830481
25,0.7495854063018242
26,0.7527472527472527
27,0.7716970702045329
28,0.7534473248758963
29,0.7598012147984539
30,0.7689331122166944
31,0.7403528114663727
32,0.7868942731277533
33,0.7728026533996684
34,0.7709251101321586
35,0.7717750826901875
36,0.7682522123893806
37,0.7355052457205964
38,0.7512437810945274
39,0.7361419068736141
40,0.7453142227122381
41,0.7625621203754832
42,0.7636664826062949
43,0.7764900662251656
44,0.7465488680287135
45,0.7479270315091211
46,0.7439427312775331
47,0.7530186608122942
48,0.7357340720221607
49,0.7545605306799337
50,0.7372505543237251
51,0.7605088495575221
52,0.7436604189636163
53,0.7534626038781164
54,0.7529085872576178
55,0.7516629711751663
56,0.7479224376731302
57,0.7355875831485588
58,0.7532967032967033
59,0.7422394678492239
60,0.7570558937465413
61,0.7684674751929438
62,0.7250554323725056
63,0.7648035417819591
64,0.7443526170798898
65,0.7874449339207048
66,0.7449035812672177
67,0.7573407202216067
68,0.7565024903154399
69,0.7505506607929515
70,0.7723263506063948
71,0.7267184035476718
72,0.7346260387811634
73,0.7393233499722685
74,0.7551133222775014
75,0.7211485367200442
76,0.7520706791827719
77,0.7476584022038567
78,0.7646408839779005
79,0.7505506607929515
80,0.7551133222775014
81,0.7183333333333334
82,0.7542888765910348
83,0.7493067110371603
84,0.7615384615384615
85,0.7418463239358761
86,0.7636967349197565
87,0.7494456762749445
88,0.7745314222712238
89,0.7585446527012127
90,0.7777777777777778
91,0.7377139701822197
92,0.749862258953168
93,0.7751381215469614
94,0.7717451523545706
95,0.7750138197899392
96,0.7484798231066888
97,0.7410468319559229
98,0.7350332594235033
99,0.7618522601984564
100,0.7606412382531785
