round,AUC
1,0.7974651741293534
2,0.8018539010989011
3,0.8060402985074628
4,0.8415591487009397
5,0.80285
6,0.8134241758241758
7,0.8534555862831859
8,0.8232399669239251
9,0.8459722160970231
10,0.8131499999999999
11,0.7995030336458908
12,0.8453390581717452
13,0.8404116639027087
14,0.8548069690265486
15,0.8110504136789851
16,0.8350561190738699
17,0.8227321507760531
18,0.8259423503325942
19,0.8466922437673131
20,0.8363199004975125
21,0.8341587064676618
22,0.8393124792013311
23,0.86125
24,0.8078586776859504
25,0.8233870646766169
26,0.821892039800995
27,0.8256160439560439
28,0.8221895960154952
29,0.8563595567867036
30,0.8330609581497798
31,0.8454041413583655
32,0.828667274737424
33,0.8458593473451327
34,0.8433343490304709
35,0.8100145615002757
36,0.829400275633958
37,0.824838953168044
38,0.822065985643291
39,0.8283033259423503
40,0.8429412742382272
41,0.8221931377974543
42,0.8509094182825484
43,0.8181147252747253
44,0.8226850746268656
45,0.8391069651741294
46,0.8338560287610619
47,0.8250066555740433
48,0.8263482644628098
49,0.8167
50,0.8184830303030303
51,0.834725484764543
52,0.8334649667405765
53,0.827656718061674
54,0.8235959048146098
55,0.8235910447761193
56,0.8140597014925374
57,0.8062
58,0.8330101872246695
59,0.8311629955947137
60,0.8125199004975124
61,0.8253933481152994
62,0.8030386828998339
63,0.8329128303964758
64,0.8141458980044346
65,0.8295368070953437
66,0.8188065709552733
67,0.8293
68,0.8189552544247788
69,0.8160121061359867
70,0.8246015521064302
71,0.8209305234159778
72,0.8023226997245179
73,0.8275319383259911
74,0.8055860055096419
75,0.8026334437086092
76,0.8113541345093715
77,0.8070099502487561
78,0.8267530420353981
79,0.7915964738292012
80,0.8285775262286029
81,0.8251392461197339
82,0.8072223880597015
83,0.8247043670536208
84,0.8173319712865821
85,0.8142695964621337
86,0.824481167400881
87,0.8207290518191841
88,0.811070867882808
89,0.8283908587257618
90,0.8337989537444934
91,0.8141928610957387
92,0.8179742793791573
93,0.8196075523704519
94,0.8040548209366392
95,0.8167259423503326
96,0.8240088495575221
97,0.821030376940133
98,0.8115907438016529
99,0.819751101321586
100,0.8126093421779989
