round,AUC
1,0.7667259911894273
2,0.7726219230769231
3,0.7789953667953669
4,0.7704348258706467
5,0.800982119205298
6,0.7704687465488681
7,0.8115048645660586
8,0.77775
9,0.808716152149945
10,0.7613364439536168
11,0.7887977839335178
12,0.812752267699115
13,0.7984221729490023
14,0.8054920154185023
15,0.8207538163716814
16,0.8151149584487535
17,0.8060606965174129
18,0.7918864163445609
19,0.7958990077177508
20,0.7806549889135255
21,0.8064943552850028
22,0.8129498340707965
23,0.7995258953168043
24,0.7744667405764967
25,0.8049177863436123
26,0.7892969713656388
27,0.7766620842572062
28,0.8154469286109574
29,0.7848655837004406
30,0.8040900771775082
31,0.7835537741046831
32,0.8036865490628444
33,0.7717999999999999
34,0.7551358365543898
35,0.7997009397457159
36,0.79875
37,0.7968282093663911
38,0.7774645730027547
39,0.8051938572219148
40,0.7952552066115702
41,0.7924920022062879
42,0.8056441192711208
43,0.8040398674765322
44,0.8097307479224376
45,0.8077942052980134
46,0.7945862107004965
47,0.8049739612188366
48,0.7832208172280508
49,0.8147093178036606
50,0.7666817582417582
51,0.77175
52,0.792880374862183
53,0.7608950248756219
54,0.80095
55,0.770170731707317
56,0.8005479823106688
57,0.8127358960176991
58,0.7402521258972943
59,0.8050380741560598
60,0.774107756232687
61,0.7972686879823594
62,0.7393346217559359
63,0.7561830845771144
64,0.7996869806094182
65,0.7984130650496142
66,0.8039809602649006
67,0.8168462091864969
68,0.7859656716417911
69,0.7877053620784964
70,0.7770256239600666
71,0.7940035300606729
72,0.7748410199556541
73,0.7694875824175824
74,0.7405818884594146
75,0.7891042447629549
76,0.8044822714681441
77,0.7409327995582551
78,0.7831394707828003
79,0.8025456953642383
80,0.7788332965821388
81,0.7863947107438016
82,0.7896482587064677
83,0.8133502765486725
84,0.7696211314475874
85,0.8006602649006622
86,0.8009999999999999
87,0.7716685524126456
88,0.7985747088186356
89,0.7333818884594147
90,0.7878923966942148
91,0.7444432357813364
92,0.7361934290447267
93,0.7748302479338843
94,0.7687445057979018
95,0.7659802319160685
96,0.7746515168229453
97,0.7828880597014926
98,0.7582603878116344
99,0.7682094713656387
100,0.7814047540077391
