round,AUC
1,0.7157867144432195
2,0.7361042517945887
3,0.7471410071942446
4,0.743548645660586
5,0.7782951747088187
6,0.7664131753031974
7,0.7634330756488128
8,0.7649243781094527
9,0.7674094182825485
10,0.7634792307692309
11,0.7514006651884702
12,0.7450381374722839
13,0.7581982261640798
14,0.765850468836183
15,0.7484124653739613
16,0.7786983361064891
17,0.7714213296398892
18,0.7494525704809287
19,0.7491521835268105
20,0.765078021978022
21,0.7722630182421227
22,0.7607420586607636
23,0.7496878520154612
24,0.7454241855328548
25,0.7608229617304493
26,0.7542241455347299
27,0.7649099834528406
28,0.7393339944903582
29,0.7405405509641872
30,0.7430000000000001
31,0.77688407960199
32,0.7871914002205073
33,0.7518570637119113
34,0.7648499999999999
35,0.7449463360881543
36,0.769373513215859
37,0.7621826373626374
38,0.7566970669618152
39,0.7664180616740088
40,0.7441150413223141
41,0.7556590682196339
42,0.7550562326869805
43,0.7445482034273079
44,0.7564765934065935
45,0.7391997788833611
46,0.7476869179600888
47,0.7577482625482624
48,0.770381592039801
49,0.7607374862183021
50,0.7410343801652892
51,0.7793349030470915
52,0.7417814876033058
53,0.7721312775330397
54,0.774868971238938
55,0.7523854465270122
56,0.74425
57,0.7437229707344009
58,0.7688728524229076
59,0.7411080991735538
60,0.7625368681318682
61,0.7587951747088186
62,0.7685592797783933
63,0.7680363184079602
64,0.7482897123893805
65,0.7483458771444382
66,0.7583939878654165
67,0.7749786703601107
68,0.7537283268912203
69,0.7534069883527454
70,0.7603778083700441
71,0.7551834065934064
72,0.7417
73,0.7389046255506607
74,0.7590721393034827
75,0.7481966740576496
76,0.7644069651741294
77,0.7619027700831025
78,0.7671131637168142
79,0.7439050137741048
80,0.7377991689750693
81,0.77142216066482
82,0.757838768718802
83,0.7395100275482094
84,0.7526333333333333
85,0.7424453237410072
86,0.7599038781163434
87,0.75575
88,0.7544356593406593
89,0.7564610281923715
90,0.7566464757709253
91,0.7513895810363836
92,0.7406448256779192
93,0.753696640969163
94,0.7452713340683572
95,0.7500331318681319
96,0.756649030470914
97,0.736811570247934
98,0.7432113573407202
99,0.7446895810363837
100,0.7436779492833517
