round,accuracy
1,0.7475695978789217
2,0.7432611577551922
3,0.7409412284577994
4,0.7382898806893504
5,0.7364118426866991
6,0.7361908970393283
7,0.7360804242156429
8,0.7346442775077331
9,0.7345338046840477
10,0.7344233318603623
11,0.7344233318603623
12,0.734312859036677
13,0.7337604949182501
14,0.7336500220945648
15,0.7333186036235086
16,0.7336500220945648
17,0.733429076447194
18,0.7335395492708794
19,0.7329871851524525
20,0.7327662395050818
21,0.7333186036235086
22,0.7333186036235086
23,0.7348652231551038
24,0.7348652231551038
25,0.7348652231551038
26,0.7350861688024746
27,0.7350861688024746
28,0.7350861688024746
29,0.7353071144498453
30,0.7356385329209014
31,0.7356385329209014
32,0.7357490057445868
33,0.7357490057445868
34,0.7357490057445868
35,0.7360804242156429
36,0.7360804242156429
37,0.7365223155103845
38,0.7371851524524967
39,0.7371851524524967
40,0.7374060980998675
41,0.7375165709235528
42,0.7375165709235528
43,0.7377375165709236
44,0.7377375165709236
45,0.7376270437472382
46,0.7376270437472382
47,0.7376270437472382
48,0.7376270437472382
49,0.7380689350419797
50,0.738179407865665
51,0.738179407865665
52,0.7385108263367212
53,0.7385108263367212
54,0.7385108263367212
55,0.7385108263367212
56,0.7385108263367212
57,0.7386212991604065
58,0.7386212991604065
59,0.7392841361025188
60,0.7392841361025188
61,0.7392841361025188
62,0.7392841361025188
63,0.7392841361025188
64,0.7392841361025188
65,0.7392841361025188
66,0.7392841361025188
67,0.7392841361025188
68,0.7392841361025188
69,0.7392841361025188
70,0.7392841361025188
71,0.7392841361025188
72,0.7392841361025188
73,0.7392841361025188
74,0.7392841361025188
75,0.7395050817498895
76,0.7395050817498895
77,0.7395050817498895
78,0.7395050817498895
79,0.7395050817498895
80,0.7395050817498895
81,0.7395050817498895
82,0.739946973044631
83,0.7397260273972602
84,0.7397260273972602
85,0.7402783915156872
86,0.7402783915156872
87,0.7402783915156872
88,0.7401679186920017
89,0.7401679186920017
90,0.7401679186920017
91,0.739946973044631
92,0.739946973044631
93,0.7398365002209456
94,0.7398365002209456
95,0.7398365002209456
96,0.7398365002209456
97,0.7402783915156872
98,0.7402783915156872
99,0.7402783915156872
100,0.7403888643393726
