round,loss
1,0.5482168502309254
2,0.5424954665887467
3,0.5406067248376896
4,0.5397034120212558
5,0.5391244985725541
6,0.538682002339062
7,0.5383068388636468
8,0.5379691141654525
9,0.5376545856922599
10,0.5373559667753014
11,0.5370692755561116
12,0.5367921801203474
13,0.5365232094161639
14,0.5362613617923558
15,0.5360059038132895
16,0.5357562633311446
17,0.535511970791921
18,0.5352726260186019
19,0.5350378788620781
20,0.5348074176022863
21,0.5345809617697437
22,0.5343582575201893
23,0.5341390744897745
24,0.5339232035053266
25,0.5337104547834833
26,0.5335006564063501
27,0.5332936529537713
28,0.5330893042278715
29,0.5328874840384811
30,0.5326880790369884
31,0.5324909875963993
32,0.5322961187403258
33,0.5321033911253984
34,0.5319127320815942
35,0.5317240767140504
36,0.5315373670686309
37,0.5313525513621307
38,0.5311695832767348
39,0.5309884213172594
40,0.5308090282288435
41,0.5306313704721066
42,0.5304554177523488
43,0.5302811425990893
44,0.5301085199921074
45,0.5299375270301397
46,0.5297681426384463
47,0.5296003473115986
48,0.5294341228880236
49,0.529269452353045
50,0.5291063196673886
51,0.5289447096183608
52,0.5287846076911346
53,0.5286259999578166
54,0.5284688729821837
55,0.5283132137381886
56,0.5281590095405281
57,0.5280062479857547
58,0.5278549169025689
59,0.5277050043100934
60,0.5275564983830595
61,0.5274093874229678
62,0.5272636598343937
63,0.5271193041057104
64,0.5269763087935946
65,0.5268346625107555
66,0.5266943539164041
67,0.5265553717090385
68,0.5264177046211805
69,0.5262813414157436
70,0.5261462708837605
71,0.5260124818432329
72,0.5258799631388975
73,0.5257487036427391
74,0.5256186922550965
75,0.5254899179062389
76,0.5253623695583005
77,0.5252360362074853
78,0.5251109068864642
79,0.5249869706669003
80,0.5248642166620479
81,0.5247426340293814
82,0.5246222119732192
83,0.5245029397473091
84,0.5243848066573557
85,0.524267802063468
86,0.5241519153825134
87,0.5240371360903681
88,0.5239234537240527
89,0.5238108578837517
90,0.5236993382347104
91,0.5235888845090074
92,0.5234794865072041
93,0.5233711340998715
94,0.5232638172289953
95,0.523157525909263
96,0.5230522502292344
97,0.5229479803524031
98,0.5228447065181481
99,0.5227424190425819
100,0.5226411083193013
